,Framework,Lat_Var_Sum_X,Lat_Var_Sum_Y,Lat_Var_Max_X,Lat_Var_Max_Y,Lat_Var_Avg_X,Lat_Var_Avg_Y
43,ATS,-1.673956274986267,-6.980958461761475,1.355112075805664,0.9827252626419067,-0.0697481781244278,-0.290873259305954
44,ATV,-1.6390724182128906,-6.723684310913086,1.4366954565048218,0.9714885950088501,-0.06829468160867691,-0.2801535129547119
45,AWW,-1.1037497520446777,-6.4323344230651855,1.4111052751541138,1.037105917930603,-0.04598957300186157,-0.26801392436027527
46,BOF,-1.5527219772338867,-6.763091087341309,1.412533164024353,1.0502270460128784,-0.06469675153493881,-0.281795471906662
47,CAS,-0.7281274795532227,-6.146200656890869,1.5171922445297241,1.0808137655258179,-0.030338644981384277,-0.2560916841030121
48,CZP,-1.2232072353363037,-6.43505859375,1.439188838005066,1.056342601776123,-0.05096696689724922,-0.26812744140625
49,DAC,-1.1039953231811523,-6.234224319458008,1.4193089008331299,1.1595736742019653,-0.04599980637431145,-0.2597593367099762
50,EPI,-0.7900822162628174,-6.284527778625488,1.4619959592819214,1.0721838474273682,-0.03292009234428406,-0.2618553340435028
51,EWO,-1.0820937156677246,-6.50322961807251,1.4270269870758057,1.0559080839157104,-0.045087236911058426,-0.27096790075302124
52,GME,-2.0035436153411865,-7.235416412353516,1.3823810815811157,0.9808013439178467,-0.08348098397254944,-0.3014756739139557
53,ITW,-1.340862512588501,-6.810345649719238,1.4600164890289307,1.0408947467803955,-0.055869270116090775,-0.28376439213752747
54,JRY,-1.2440855503082275,-6.583827018737793,1.4728460311889648,1.1715575456619263,-0.05183689668774605,-0.2743261158466339
55,LAU,-1.612304449081421,-6.7964324951171875,1.3526668548583984,0.9913781881332397,-0.0671793520450592,-0.283184677362442
56,LIT,-0.9445101022720337,-6.380324363708496,1.4718918800354004,1.0881705284118652,-0.0393545888364315,-0.265846848487854
57,LOS,-0.3978586196899414,-6.363761901855469,1.563347339630127,1.068825364112854,-0.01657744310796261,-0.26515674591064453
58,LTA,-0.1970207691192627,-5.651058673858643,1.5856796503067017,1.138450026512146,-0.008209198713302612,-0.2354607731103897
59,MRT,-1.3777915239334106,-6.822066307067871,1.4108636379241943,0.9923034906387329,-0.05740797892212868,-0.28425276279449463
60,MTT,-0.7183657884597778,-6.069614410400391,1.4697980880737305,1.1220378875732422,-0.02993190847337246,-0.2529006004333496
61,PON,-1.1777030229568481,-6.422359943389893,1.4337483644485474,1.0863569974899292,-0.04907095804810524,-0.26759833097457886
62,PTT,-0.7915563583374023,-6.011853218078613,1.3977209329605103,1.1856439113616943,-0.0329815149307251,-0.2504938840866089
63,RTE,-1.1110317707061768,-6.535546779632568,1.4561516046524048,1.082666039466858,-0.0462929904460907,-0.2723144590854645
64,SOS,-1.356222152709961,-6.742771148681641,1.3990048170089722,1.0281929969787598,-0.05650925636291504,-0.28094878792762756
65,TON,-0.7728002071380615,-6.197543621063232,1.446552038192749,1.0557096004486084,-0.032200008630752563,-0.258230984210968
66,UOS,-1.4478819370269775,-6.617427825927734,1.4115679264068604,1.0500593185424805,-0.0603284128010273,-0.27572616934776306
67,BPH,-14.74736213684082,-8.057669639587402,1.038521647453308,2.2593815326690674,-0.5266914963722229,-0.28777390718460083
68,CHI,-14.65999984741211,-8.023113250732422,1.0357621908187866,2.239208459854126,-0.5235714316368103,-0.286539763212204
69,MTW,-14.820035934448242,-7.985489368438721,1.031203031539917,2.277348756790161,-0.5292869806289673,-0.2851960361003876
70,SSY,-14.446952819824219,-7.984131336212158,1.1062198877334595,2.2676470279693604,-0.5159626007080078,-0.2851475477218628
71,AFV,-5.316441535949707,-15.119606018066406,1.4271756410598755,0.8984338641166687,-0.17721471190452576,-0.5039868950843811
72,AFN,-6.43051815032959,-12.928098678588867,1.1378072500228882,1.3167589902877808,-0.20095369219779968,-0.4040030837059021
73,AFR,-6.262428283691406,-12.860742568969727,1.1840417385101318,1.2477413415908813,-0.19570088386535645,-0.40189820528030396
74,APC,-5.663177967071533,-12.72091007232666,1.2253484725952148,1.2904170751571655,-0.1769743114709854,-0.39752843976020813
75,APD,-6.056283473968506,-13.015073776245117,1.1488968133926392,1.2671712636947632,-0.1892588585615158,-0.4067210555076599
76,BEC,-5.792435169219971,-12.863370895385742,1.3448809385299683,1.2171887159347534,-0.18101359903812408,-0.40198034048080444
77,CFI,-6.0575761795043945,-12.841388702392578,1.1722480058670044,1.290832281112671,-0.18929925560951233,-0.40129339694976807
78,CGS,-6.479399681091309,-12.88294506072998,1.130597472190857,1.3028147220611572,-0.2024812400341034,-0.4025920331478119
79,GON,-5.853739261627197,-12.699714660644531,1.1645123958587646,1.3057432174682617,-0.18292935192584991,-0.3968660831451416
80,GOO,-5.815430164337158,-12.720352172851562,1.2118608951568604,1.2980135679244995,-0.1817321926355362,-0.39751100540161133
81,IFO,-5.996805667877197,-12.59904956817627,1.1714003086090088,1.2740380764007568,-0.18740017712116241,-0.3937202990055084
82,IFR,-5.947860240936279,-12.6019926071167,1.1718153953552246,1.355276346206665,-0.18587063252925873,-0.39381226897239685
83,JNT,-5.964903354644775,-12.94183349609375,1.1843104362487793,1.2756491899490356,-0.18640322983264923,-0.4044322967529297
84,MER,-5.991950035095215,-12.7838716506958,1.1909300088882446,1.264866590499878,-0.18724843859672546,-0.3994959890842438
85,OSI,-6.244044780731201,-12.7154541015625,1.21555757522583,1.2421023845672607,-0.19512639939785004,-0.3973579406738281
86,PAR,-6.558986663818359,-13.12013053894043,1.148383617401123,1.2846591472625732,-0.20496833324432373,-0.4100040793418884
87,PHI,-5.962315082550049,-12.847991943359375,1.2346817255020142,1.291593313217163,-0.18632234632968903,-0.40149974822998047
88,RTH,-5.839658737182617,-12.740748405456543,1.1746493577957153,1.3209643363952637,-0.1824893355369568,-0.39814838767051697
89,RWR,-5.651451587677002,-12.78237533569336,1.1800484657287598,1.3064451217651367,-0.1766078621149063,-0.3994492292404175
90,SAS,-5.580507278442383,-12.291128158569336,1.1941571235656738,1.4024713039398193,-0.17439085245132446,-0.38409775495529175
91,SFF,-5.833432197570801,-12.808258056640625,1.18495512008667,1.3130778074264526,-0.18229475617408752,-0.40025806427001953
92,SFN,-5.7290754318237305,-12.55166244506836,1.2219144105911255,1.334924340248108,-0.17903360724449158,-0.39223945140838623
93,SFO,-6.185400009155273,-12.862154960632324,1.1313378810882568,1.2562251091003418,-0.1932937502861023,-0.40194234251976013
94,STF,-5.7468366622924805,-12.820834159851074,1.2522740364074707,1.2805124521255493,-0.17958864569664001,-0.40065106749534607
95,ZON,-5.749265670776367,-12.89339542388916,1.2072416543960571,1.28029203414917,-0.17966455221176147,-0.40291860699653625
96,DOH,-5.754497528076172,-9.841750144958496,1.7673348188400269,1.8351457118988037,-0.16924992203712463,-0.28946325182914734
97,MEI,-4.993273735046387,-9.327192306518555,1.807389259338379,1.788771152496338,-0.1468609869480133,-0.27432918548583984
98,ATO,-6.666654586791992,-3.0020363330841064,1.5459530353546143,1.9535261392593384,-0.18518485128879547,-0.08338990062475204
